Date,Season,Div,HomeTeam,AwayTeam,y,model_p_H,model_p_D,model_p_A,model_mondrian_size_a10,model_mondrian_mask_a10,model_mondrian_size_a20,model_mondrian_mask_a20,model_mondrian_size_a30,model_mondrian_mask_a30,market_p_H,market_p_D,market_p_A,market_mondrian_size_a10,market_mondrian_mask_a10,market_mondrian_size_a20,market_mondrian_mask_a20,market_mondrian_size_a30,market_mondrian_mask_a30
2025-08-15,2025,SP1,Girona,Vallecano,2,0.35673069953918457,0.3318028151988983,0.3114664852619171,3,HDA,2,DA,2,DA,0.3912443305068033,0.2995464405442714,0.3092092289489253,3,HDA,2,DA,2,DA
2025-08-15,2025,E0,Liverpool,Bournemouth,0,0.7012450098991394,0.15785662829875946,0.14089836180210114,2,HD,1,H,1,H,0.7408870888076657,0.15291909512990223,0.10619381606243203,1,H,1,H,1,H
2025-08-15,2025,F1,Rennes,Marseille,0,0.22318576608875046,0.25462985418185374,0.5221843797293958,2,DA,2,DA,2,DA,0.24241142252776304,0.2626123744050767,0.4949762030671602,2,DA,2,DA,2,DA
2025-08-15,2025,SP1,Villarreal,Oviedo,0,0.7715114218897475,0.1274397598171091,0.10104881829314341,1,H,1,H,1,H,0.6803939122649956,0.2005371530886302,0.1190689346463742,2,HD,1,H,1,H
2025-08-16,2025,SP1,Valencia,Sociedad,1,0.3953246474266052,0.26820409297943115,0.3364712595939636,3,HDA,2,DA,2,DA,0.3872529245663574,0.3162565550625252,0.2964905203711174,3,HDA,2,DA,2,DA
2025-08-16,2025,F1,Monaco,Le Havre,0,0.7620331105741345,0.1470335136878007,0.09093337573806476,1,H,1,H,1,H,0.7780921584478578,0.135610347615198,0.0862974939369442,1,H,1,H,1,H
2025-08-16,2025,F1,Nice,Toulouse,2,0.42713767290115356,0.31861966848373413,0.2542426586151123,3,HDA,3,HDA,1,D,0.4931894569255263,0.2770564302140457,0.2297541128604281,3,HDA,2,HD,2,HD
2025-08-16,2025,F1,Lens,Lyon,2,0.3075975477695465,0.2845250964164734,0.4078773558139801,3,HDA,2,DA,2,DA,0.378159757330637,0.2780586450960566,0.3437815975733064,3,HDA,2,DA,2,DA
2025-08-16,2025,SP1,Mallorca,Barcelona,2,0.15140322076385052,0.13354565402188381,0.7150511252142656,1,A,1,A,1,A,0.0996515679442508,0.1721254355400697,0.7282229965156795,1,A,1,A,1,A
2025-08-16,2025,E0,Aston Villa,Newcastle,1,0.37741232086626286,0.23751148302022496,0.38507619611351224,3,HDA,2,DA,2,DA,0.3852691218130311,0.2776203966005666,0.3371104815864023,3,HDA,2,DA,2,DA
2025-08-16,2025,SP1,Alaves,Levante,0,0.4095650789271272,0.30478637502234057,0.2856485460505323,3,HDA,3,HDA,2,DA,0.4512877939529675,0.3057110862262038,0.2430011198208287,3,HDA,3,HDA,2,HD
2025-08-16,2025,E0,Wolves,Man City,2,0.13281547627402912,0.1256724260547034,0.7415120976712675,1,A,1,A,1,A,0.15213608437799633,0.22639298270535174,0.6214709329166519,2,DA,2,DA,1,A
2025-08-16,2025,E0,Tottenham,Burnley,0,0.5477176063783047,0.2977667615815955,0.15451563204009985,2,HD,2,HD,2,HD,0.607741694196846,0.2415383656423362,0.1507199401608178,2,HD,2,HD,2,HD
2025-08-16,2025,E0,Sunderland,West Ham,0,0.2533872761337053,0.24286036555260965,0.503752358313685,2,DA,2,DA,2,DA,0.27982899339292655,0.29731830547998445,0.422852701127089,2,DA,2,DA,2,DA
2025-08-16,2025,E0,Brighton,Fulham,1,0.4667273183627535,0.3049418744479493,0.22833080718929724,3,HDA,3,HDA,2,HD,0.5257095980311732,0.25575061525840853,0.21853978671041832,3,HDA,2,HD,2,HD
2025-08-17,2025,F1,Auxerre,Lorient,0,0.3273010752409376,0.34645669619868114,0.32624222856038126,3,HDA,2,DA,2,DA,0.37281553398058254,0.29708737864077667,0.33009708737864074,3,HDA,2,DA,2,DA
2025-08-17,2025,SP1,Espanol,Ath Madrid,0,0.13882934840277808,0.1421939858467283,0.7189766657504936,1,A,1,A,1,A,0.1722558481923769,0.2429249141174546,0.5848192376901685,2,DA,2,DA,2,DA
2025-08-17,2025,SP1,Ath Bilbao,Sevilla,0,0.5730477231613273,0.2999505236722763,0.1270017531663963,2,HD,2,HD,2,HD,0.6104945747546899,0.24580439457228306,0.14370103067302703,2,HD,2,HD,2,HD
2025-08-17,2025,SP1,Celta,Getafe,2,0.48959685163512,0.2846550516193337,0.2257480967455463,3,HDA,3,HDA,2,HD,0.5657460116663154,0.26994166842364187,0.16431231991004283,2,HD,2,HD,2,HD
2025-08-17,2025,E0,Man United,Arsenal,2,0.2984626204233581,0.2597282153448994,0.4418091642317425,2,DA,2,DA,2,DA,0.24896952615818216,0.25569843227056543,0.4953320415712525,2,DA,2,DA,2,DA
2025-08-17,2025,F1,Angers,Paris FC,0,0.30282109073337643,0.2796631968121768,0.4175157124544468,2,DA,2,DA,2,DA,0.3055305530553056,0.2914291429142914,0.4030403040304031,3,HDA,2,DA,2,DA
2025-08-17,2025,E0,Nott'm Forest,Brentford,0,0.45594890284385986,0.26536358193646614,0.27868751521967394,3,HDA,3,HDA,2,HD,0.5011933174224344,0.27207637231503584,0.22673031026252982,3,HDA,2,HD,2,HD
2025-08-17,2025,E0,Chelsea,Crystal Palace,1,0.4419104754924774,0.2607506215572357,0.29733890295028687,3,HDA,3,HDA,2,DA,0.5275084060230983,0.2532040348910871,0.2192875590858145,3,HDA,2,HD,2,HD
2025-08-17,2025,F1,Metz,Strasbourg,2,0.21751448642570426,0.2858894084311581,0.4965961051431377,2,DA,2,DA,2,DA,0.25339366515837103,0.27149321266968324,0.47511312217194573,2,DA,2,DA,2,DA
2025-08-17,2025,F1,Brest,Lille,1,0.32525956630706787,0.3609641492366791,0.31377628445625305,3,HDA,2,DA,2,DA,0.3872529245663574,0.2964905203711174,0.3162565550625252,3,HDA,2,DA,2,DA
