idx,y,ok,p_H,p_D,p_A,consistency,ui,scs,odds_H,odds_D,odds_A
1,0,1,0.68,0.201,0.119,1.0,0.12799999999999997,0.5,1.4,4.75,8.0
2,2,1,0.37,0.3,0.33,1.0,0.402,1.5,2.45,3.2,3.1
3,0,1,0.242,0.263,0.495,1.0,0.43187753201232315,2.032516880082154,3.9,3.6,1.91
5,2,1,0.1,0.172,0.728,1.0,0.40880000000000005,2.5,9.5,5.5,1.3
6,0,1,0.77,0.14,0.09,1.0,0.242,1.5,1.22,7.0,11.0
7,0,1,0.43,0.31,0.26,1.0,0.3404999999999999,1.2499999999999991,2.1,3.1,3.9
8,2,1,0.4,0.27,0.33,1.0,0.39741940788397556,1.5494627192265038,2.5,3.4,2.75
9,1,1,0.385,0.278,0.337,1.0,0.396,1.5,2.45,3.4,2.8
10,1,1,0.525,0.256,0.219,1.0,0.33999999999999997,1.5,1.8,3.7,4.33
11,0,1,0.28,0.297,0.423,1.0,0.3868899984804137,1.540599989869425,3.4,3.2,2.25
12,2,1,0.493,0.277,0.23,1.0,0.3528,1.5,1.91,3.4,4.1
13,2,1,0.152,0.226,0.622,1.0,0.3612,1.9,6.25,4.2,1.53
14,1,1,0.387,0.316,0.297,1.0,0.3952,1.5,2.45,3.0,3.2
16,2,1,0.249,0.256,0.495,1.0,0.4510896515587203,2.1605976770581354,3.8,3.7,1.91
17,0,1,0.501,0.272,0.227,1.0,0.37255831983412857,1.6530554655608571,1.9,3.5,4.2
18,1,1,0.528,0.253,0.219,1.0,0.3388,1.5,1.8,3.75,4.33
19,0,1,0.306,0.291,0.403,1.0,0.4398654031893572,1.8404360212623811,3.1,3.25,2.35
20,0,1,0.172,0.243,0.585,1.0,0.4660000000000001,2.5,5.5,3.9,1.62
21,2,1,0.08,0.14,0.78,1.0,0.388,2.5,13.0,7.0,1.2
23,2,1,0.566,0.27,0.164,1.0,0.3236,1.5,1.67,3.5,5.75
25,2,1,0.253,0.271,0.476,1.0,0.5096,2.5,3.75,3.5,2.0
27,1,1,0.296,0.292,0.412,1.0,0.40996670758201925,1.6651113838801281,3.2,3.25,2.3
28,0,1,0.778,0.136,0.086,1.0,0.23879999999999998,1.5,1.22,7.0,11.0
29,0,1,0.875,0.078,0.047,1.0,0.2,1.736842105263158,1.06,13.0,23.0
30,0,1,0.5,0.28,0.22,1.0,0.35,1.631578947368421,1.83,3.4,4.5
31,2,1,0.21,0.249,0.541,1.0,0.48360000000000003,2.5789473684210527,4.5,3.8,1.75
32,0,1,0.778,0.136,0.086,1.0,0.23879999999999998,1.5,1.22,7.0,11.0
33,0,1,0.676,0.189,0.135,1.0,0.1296,0.42105263157894735,1.4,5.0,7.0
34,0,1,0.52,0.26,0.22,1.0,0.34199999999999997,1.736842105263158,1.85,3.7,4.1
35,0,1,0.662,0.188,0.15,1.0,0.2852,1.263157894736842,1.42,5.0,6.25
36,2,1,0.62,0.2,0.18,1.0,0.30200000000000005,1.631578947368421,1.55,4.33,5.25
37,0,1,0.525,0.256,0.219,1.0,0.2874999999999999,1.2289473684210521,1.8,3.7,4.33
38,0,1,0.285,0.27,0.445,1.0,0.445699742159537,2.2808052986074396,3.4,3.5,2.1
39,2,1,0.15,0.253,0.597,1.0,0.46120000000000005,2.5,5.75,3.7,1.65
40,0,1,0.231,0.252,0.517,1.0,0.49319999999999997,2.5,4.1,3.75,1.83
41,2,1,0.55,0.22,0.23,1.0,0.32999999999999996,1.5,1.73,4.2,4.1
42,2,1,0.339,0.288,0.373,1.0,0.4407971455319001,1.7666476368793338,2.8,3.3,2.55
43,1,1,0.23,0.26,0.51,1.0,0.46693675131007684,2.3062450087338453,4.2,3.7,1.9
44,0,1,0.405,0.297,0.298,1.0,0.388,1.9473684210526316,2.35,3.2,3.2
45,0,1,0.47,0.28,0.25,1.0,0.28700000000000003,1.0,2.2,3.2,3.5
46,2,1,0.51,0.26,0.23,1.0,0.346,1.5,1.91,3.6,3.9
47,1,1,0.27,0.29,0.44,1.0,0.4212855152500987,2.157342031491886,3.3,3.2,2.3
48,2,1,0.095,0.165,0.74,1.0,0.404,2.947368421052632,12.0,6.5,1.22
49,1,1,0.74,0.17,0.09,1.0,0.254,1.8421052631578947,1.29,5.75,10.0
51,0,1,0.62,0.2,0.18,1.0,0.30200000000000005,1.5,1.53,4.75,5.25
52,0,1,0.715,0.173,0.112,1.0,0.264,1.8947368421052633,1.33,5.5,8.5
54,1,1,0.64,0.21,0.15,1.0,0.294,1.5,1.48,4.5,6.5
56,0,1,0.315,0.285,0.4,1.0,0.4209085138715386,1.8902672854593805,2.88,3.3,2.45
57,0,1,0.432,0.288,0.28,1.0,0.39462439724610165,1.8003731746231333,2.2,3.3,3.4
58,2,1,0.09,0.17,0.74,1.0,0.404,2.526315789473684,8.5,5.0,1.33
59,0,1,0.635,0.222,0.143,1.0,0.296,1.8421052631578947,1.47,4.2,6.5
60,1,1,0.515,0.268,0.217,1.0,0.344,1.8947368421052633,1.82,3.5,4.33
61,2,1,0.49,0.26,0.25,1.0,0.354,1.5,1.95,3.6,3.7
62,1,1,0.31,0.27,0.42,1.0,0.5300888624298254,2.8819959249707656,3.4,3.6,2.05
63,0,1,0.41,0.286,0.304,1.0,0.386,1.5,2.3,3.3,3.1
64,2,1,0.225,0.263,0.512,1.0,0.4952,2.947368421052632,4.2,3.6,1.85
65,0,1,0.343,0.286,0.371,1.0,0.2904754859416985,0.8381172746990425,2.75,3.3,2.55
66,0,1,0.67,0.205,0.125,1.0,0.282,1.5,1.42,4.5,8.0
67,0,1,0.541,0.27,0.189,1.0,0.18359999999999999,0.7894736842105263,1.75,3.5,5.0
68,0,1,0.298,0.258,0.444,1.0,0.4110499671478134,1.994508552915247,3.2,3.7,2.15
69,1,1,0.47,0.25,0.28,1.0,0.362,1.5,1.95,3.8,3.5
70,1,1,0.3,0.315,0.385,1.0,0.546,2.5,3.0,3.0,2.55
72,0,1,0.557,0.271,0.172,1.0,0.1772,0.8421052631578947,1.7,3.5,5.5
73,1,1,0.48551448551448556,0.29570429570429574,0.2187812187812188,1.0,0.35579420579420584,1.5,1.95,3.2,4.33
74,0,1,0.698,0.19,0.112,1.0,0.27080000000000004,1.5,1.36,5.0,8.5
75,2,1,0.326,0.263,0.411,1.0,0.3856,1.9473684210526316,2.9,3.6,2.3
77,1,1,0.404,0.279,0.317,1.0,0.38839999999999997,1.5789473684210527,2.35,3.4,3.0
79,0,1,0.35,0.295,0.355,1.0,0.45040999059127873,1.966943796924314,2.8,3.1,2.6
80,2,1,0.39,0.29,0.32,1.0,0.28150000000000014,1.0921052631578956,2.45,3.2,3.0
82,0,1,0.443,0.293,0.264,1.0,0.2978,1.236842105263158,2.15,3.25,3.6
83,0,1,0.49,0.26,0.25,1.0,0.354,1.736842105263158,1.91,3.6,3.75
84,1,1,0.25,0.28,0.47,1.0,0.512,2.6842105263157894,3.9,3.4,2.0
85,2,1,0.181,0.271,0.548,1.0,0.3533,1.7289473684210526,5.25,3.5,1.73
86,2,1,0.385,0.28,0.335,1.0,0.35850000000000015,1.6447368421052642,2.45,3.1,3.1
87,0,1,0.676,0.219,0.105,1.0,0.27959999999999996,1.631578947368421,1.4,4.33,9.0
88,0,1,0.27,0.3,0.43,1.0,0.4387126911050264,2.088961800349299,3.3,3.1,2.3
89,1,1,0.219,0.253,0.528,1.0,0.4888,2.736842105263158,4.33,3.75,1.8
90,0,1,0.331,0.307,0.362,1.0,0.4582493544328411,2.1957676260435015,2.88,3.1,2.63
