idx,ok,p,consistency
0,0,,
1,1,"[0.68, 0.201, 0.119]",1.0
2,1,"[0.37, 0.3, 0.33]",1.0
3,1,"[0.242, 0.263, 0.495]",1.0
4,0,,
5,1,"[0.1, 0.172, 0.728]",1.0
6,1,"[0.77, 0.14, 0.09]",1.0
7,1,"[0.43, 0.31, 0.26]",1.0
8,1,"[0.4, 0.27, 0.33]",1.0
9,1,"[0.385, 0.278, 0.337]",1.0
10,1,"[0.525, 0.256, 0.219]",1.0
11,1,"[0.28, 0.297, 0.423]",1.0
12,1,"[0.493, 0.277, 0.23]",1.0
13,1,"[0.152, 0.226, 0.622]",1.0
14,1,"[0.387, 0.316, 0.297]",1.0
15,0,,
16,1,"[0.249, 0.256, 0.495]",1.0
17,1,"[0.501, 0.272, 0.227]",1.0
18,1,"[0.528, 0.253, 0.219]",1.0
19,1,"[0.306, 0.291, 0.403]",1.0
20,1,"[0.172, 0.243, 0.585]",1.0
21,1,"[0.08, 0.14, 0.78]",1.0
22,0,,
23,1,"[0.566, 0.27, 0.164]",1.0
24,0,,
25,1,"[0.253, 0.271, 0.476]",1.0
26,0,,
27,1,"[0.296, 0.292, 0.412]",1.0
28,1,"[0.778, 0.136, 0.086]",1.0
29,1,"[0.875, 0.078, 0.047]",1.0
30,1,"[0.5, 0.28, 0.22]",1.0
31,1,"[0.21, 0.249, 0.541]",1.0
32,1,"[0.778, 0.136, 0.086]",1.0
33,1,"[0.676, 0.189, 0.135]",1.0
34,1,"[0.52, 0.26, 0.22]",1.0
35,1,"[0.662, 0.188, 0.15]",1.0
36,1,"[0.62, 0.2, 0.18]",1.0
37,1,"[0.525, 0.256, 0.219]",1.0
38,1,"[0.285, 0.27, 0.445]",1.0
39,1,"[0.15, 0.253, 0.597]",1.0
40,1,"[0.231, 0.252, 0.517]",1.0
41,1,"[0.55, 0.22, 0.23]",1.0
42,1,"[0.339, 0.288, 0.373]",1.0
43,1,"[0.23, 0.26, 0.51]",1.0
44,1,"[0.405, 0.297, 0.298]",1.0
45,1,"[0.47, 0.28, 0.25]",1.0
46,1,"[0.51, 0.26, 0.23]",1.0
47,1,"[0.27, 0.29, 0.44]",1.0
48,1,"[0.095, 0.165, 0.74]",1.0
49,1,"[0.74, 0.17, 0.09]",1.0
50,0,,
51,1,"[0.62, 0.2, 0.18]",1.0
52,1,"[0.715, 0.173, 0.112]",1.0
53,0,,
54,1,"[0.64, 0.21, 0.15]",1.0
55,0,,
56,1,"[0.315, 0.285, 0.4]",1.0
57,1,"[0.432, 0.288, 0.28]",1.0
58,1,"[0.09, 0.17, 0.74]",1.0
59,1,"[0.635, 0.222, 0.143]",1.0
60,1,"[0.515, 0.268, 0.217]",1.0
61,1,"[0.49, 0.26, 0.25]",1.0
62,1,"[0.31, 0.27, 0.42]",1.0
63,1,"[0.41, 0.286, 0.304]",1.0
64,1,"[0.225, 0.263, 0.512]",1.0
65,1,"[0.343, 0.286, 0.371]",1.0
66,1,"[0.67, 0.205, 0.125]",1.0
67,1,"[0.541, 0.27, 0.189]",1.0
68,1,"[0.298, 0.258, 0.444]",1.0
69,1,"[0.47, 0.25, 0.28]",1.0
70,1,"[0.3, 0.315, 0.385]",1.0
71,0,,
72,1,"[0.557, 0.271, 0.172]",1.0
73,1,"[0.48551448551448556, 0.29570429570429574, 0.2187812187812188]",1.0
74,1,"[0.698, 0.19, 0.112]",1.0
75,1,"[0.326, 0.263, 0.411]",1.0
76,0,,
77,1,"[0.404, 0.279, 0.317]",1.0
78,0,,
79,1,"[0.35, 0.295, 0.355]",1.0
80,1,"[0.39, 0.29, 0.32]",1.0
81,0,,
82,1,"[0.443, 0.293, 0.264]",1.0
83,1,"[0.49, 0.26, 0.25]",1.0
84,1,"[0.25, 0.28, 0.47]",1.0
85,1,"[0.181, 0.271, 0.548]",1.0
86,1,"[0.385, 0.28, 0.335]",1.0
87,1,"[0.676, 0.219, 0.105]",1.0
88,1,"[0.27, 0.3, 0.43]",1.0
89,1,"[0.219, 0.253, 0.528]",1.0
90,1,"[0.331, 0.307, 0.362]",1.0
91,0,,
92,1,"[0.56, 0.24, 0.2]",1.0
93,1,"[0.364, 0.249, 0.387]",1.0
94,1,"[0.81, 0.12, 0.07]",1.0
95,1,"[0.601, 0.21, 0.189]",1.0
96,1,"[0.62, 0.21, 0.17]",1.0
97,1,"[0.38, 0.28, 0.34]",1.0
98,1,"[0.28, 0.3, 0.42]",1.0
99,1,"[0.496, 0.252, 0.252]",1.0
