idx,y,ok,p_H,p_D,p_A,consistency,ui,scs,odds_H,odds_D,odds_A
0,0,1,0.741,0.153,0.106,1.0,0.2536,1.5,1.29,6.25,9.0
1,0,1,0.68,0.201,0.119,1.0,0.12799999999999997,0.5,1.4,4.75,8.0
2,2,1,0.391,0.3,0.309,1.0,0.3936,1.5,2.45,3.2,3.1
3,0,1,0.25,0.26,0.49,1.0,0.43387753201232315,2.032516880082154,3.9,3.6,1.91
4,0,1,0.6073926073926075,0.2417582417582418,0.15084915084915085,1.0,0.30704295704295703,1.5,1.55,3.9,6.25
5,2,1,0.1,0.172,0.728,1.0,0.40880000000000005,2.5,9.5,5.5,1.3
6,0,1,0.778,0.136,0.086,1.0,0.23879999999999998,1.5,1.22,7.0,11.0
7,0,1,0.451,0.306,0.243,1.0,0.33209999999999984,1.2499999999999991,2.1,3.1,3.9
8,2,1,0.378,0.278,0.344,1.0,0.4062194078839756,1.5494627192265038,2.5,3.4,2.75
9,1,1,0.385,0.278,0.337,1.0,0.396,1.5,2.45,3.4,2.8
10,1,1,0.5254745254745254,0.25574425574425574,0.21878121878121876,1.0,0.33981018981018984,1.5,1.8,3.7,4.33
11,0,1,0.28,0.3,0.42,1.0,0.38808999848041376,1.540599989869425,3.4,3.2,2.25
12,2,1,0.5,0.27,0.23,1.0,0.35,1.5,1.91,3.4,4.1
13,2,1,0.15215215215215214,0.22622622622622623,0.6216216216216216,1.0,0.3613513513513514,1.9,6.25,4.2,1.53
14,1,1,0.4,0.31,0.29,1.0,0.39,1.5,2.45,3.0,3.2
15,1,1,0.39,0.29,0.32,1.0,0.42903184234735137,1.733545615649009,2.45,3.2,3.0
16,2,1,0.25,0.26,0.49,1.0,0.4530896515587203,2.1605976770581354,3.8,3.7,1.91
17,0,1,0.5,0.27,0.23,1.0,0.3729583198341286,1.6530554655608571,1.9,3.5,4.2
18,1,1,0.53,0.25,0.22,1.0,0.33799999999999997,1.5,1.8,3.75,4.33
19,0,1,0.31,0.29,0.4,1.0,0.44106540318935716,1.8404360212623811,3.1,3.25,2.35
20,0,1,0.18,0.24,0.58,1.0,0.4680000000000001,2.5,5.5,3.9,1.62
21,2,1,0.073,0.136,0.791,1.0,0.38359999999999994,2.5,13.0,7.0,1.2
22,0,1,0.373,0.297,0.33,1.0,0.40172441724515995,1.5061627816343994,2.55,3.2,2.88
23,2,1,0.566,0.27,0.164,1.0,0.3236,1.5,1.67,3.5,5.75
24,0,1,0.61,0.246,0.144,1.0,0.30600000000000005,1.5,1.53,3.8,6.5
