idx,ok,p,consistency
0,1,"[0.741, 0.153, 0.106]",1.0
1,1,"[0.68, 0.201, 0.119]",1.0
2,1,"[0.391, 0.3, 0.309]",1.0
3,1,"[0.25, 0.26, 0.49]",1.0
4,1,"[0.6073926073926075, 0.2417582417582418, 0.15084915084915085]",1.0
5,1,"[0.1, 0.172, 0.728]",1.0
6,1,"[0.778, 0.136, 0.086]",1.0
7,1,"[0.451, 0.306, 0.243]",1.0
8,1,"[0.378, 0.278, 0.344]",1.0
9,1,"[0.385, 0.278, 0.337]",1.0
10,1,"[0.5254745254745254, 0.25574425574425574, 0.21878121878121876]",1.0
11,1,"[0.28, 0.3, 0.42]",1.0
12,1,"[0.5, 0.27, 0.23]",1.0
13,1,"[0.15215215215215214, 0.22622622622622623, 0.6216216216216216]",1.0
14,1,"[0.4, 0.31, 0.29]",1.0
15,1,"[0.39, 0.29, 0.32]",1.0
16,1,"[0.25, 0.26, 0.49]",1.0
17,1,"[0.5, 0.27, 0.23]",1.0
18,1,"[0.53, 0.25, 0.22]",1.0
19,1,"[0.31, 0.29, 0.4]",1.0
20,1,"[0.18, 0.24, 0.58]",1.0
21,1,"[0.073, 0.136, 0.791]",1.0
22,1,"[0.373, 0.297, 0.33]",1.0
23,1,"[0.566, 0.27, 0.164]",1.0
24,1,"[0.61, 0.246, 0.144]",1.0
25,1,"[0.26, 0.27, 0.47]",1.0
26,1,"[0.403, 0.291, 0.306]",1.0
27,1,"[0.29, 0.29, 0.42]",1.0
28,1,"[0.778, 0.136, 0.086]",1.0
29,1,"[0.887, 0.072, 0.041]",1.0
30,1,"[0.514, 0.277, 0.209]",1.0
31,1,"[0.21, 0.25, 0.54]",1.0
32,1,"[0.778, 0.136, 0.086]",1.0
33,1,"[0.676, 0.189, 0.135]",1.0
34,1,"[0.5125125125125125, 0.25625625625625625, 0.23123123123123124]",1.0
35,1,"[0.662, 0.188, 0.15]",1.0
36,1,"[0.6043956043956045, 0.2167832167832168, 0.17882117882117884]",1.0
37,1,"[0.5254745254745254, 0.25574425574425574, 0.21878121878121876]",1.0
38,1,"[0.28, 0.27, 0.45]",1.0
39,1,"[0.17, 0.26, 0.57]",1.0
40,1,"[0.24, 0.25, 0.51]",1.0
41,1,"[0.545, 0.225, 0.23]",1.0
42,1,"[0.34, 0.29, 0.37]",1.0
43,1,"[0.23, 0.26, 0.51]",1.0
44,1,"[0.41, 0.29, 0.3]",1.0
45,1,"[0.432, 0.297, 0.271]",1.0
46,1,"[0.5, 0.26, 0.24]",1.0
47,1,"[0.29, 0.3, 0.41]",1.0
48,1,"[0.08, 0.15, 0.77]",1.0
49,1,"[0.739, 0.166, 0.095]",1.0
50,1,"[0.728, 0.172, 0.1]",1.0
51,1,"[0.62, 0.2, 0.18]",1.0
52,1,"[0.715, 0.173, 0.112]",1.0
53,1,"[0.54, 0.28, 0.18]",1.0
54,1,"[0.6426426426426427, 0.2112112112112112, 0.14614614614614613]",1.0
55,1,"[0.403, 0.291, 0.306]",1.0
56,1,"[0.33, 0.28, 0.39]",1.0
57,1,"[0.432, 0.288, 0.28]",1.0
58,1,"[0.11, 0.187, 0.703]",1.0
59,1,"[0.6346346346346347, 0.22222222222222224, 0.14314314314314314]",1.0
60,1,"[0.52, 0.27, 0.21]",1.0
61,1,"[0.483, 0.262, 0.255]",1.0
62,1,"[0.28, 0.26, 0.46]",1.0
63,1,"[0.41, 0.286, 0.304]",1.0
64,1,"[0.23, 0.26, 0.51]",1.0
65,1,"[0.3433433433433434, 0.2862862862862863, 0.37037037037037035]",1.0
66,1,"[0.67, 0.211, 0.119]",1.0
67,1,"[0.541, 0.27, 0.189]",1.0
68,1,"[0.3, 0.26, 0.44]",1.0
69,1,"[0.483, 0.248, 0.269]",1.0
70,1,"[0.315, 0.315, 0.37]",1.0
71,1,"[0.43043043043043044, 0.2782782782782783, 0.2912912912912913]",1.0
72,1,"[0.557, 0.271, 0.172]",1.0
73,1,"[0.48551448551448556, 0.29570429570429574, 0.2187812187812188]",1.0
74,1,"[0.698, 0.19, 0.112]",1.0
75,1,"[0.33, 0.26, 0.41]",1.0
76,1,"[0.475, 0.306, 0.219]",1.0
77,1,"[0.404, 0.279, 0.317]",1.0
78,1,"[0.14, 0.25, 0.61]",1.0
79,1,"[0.34, 0.3, 0.36]",1.0
80,1,"[0.38738738738738737, 0.2962962962962963, 0.3163163163163163]",1.0
81,1,"[0.405, 0.331, 0.264]",1.0
82,1,"[0.443, 0.293, 0.264]",1.0
83,1,"[0.49, 0.26, 0.25]",1.0
84,1,"[0.25, 0.28, 0.47]",1.0
85,1,"[0.19, 0.27, 0.54]",1.0
86,1,"[0.388, 0.306, 0.306]",1.0
87,1,"[0.676, 0.219, 0.105]",1.0
88,1,"[0.29, 0.3, 0.41]",1.0
89,1,"[0.22, 0.25, 0.53]",1.0
90,1,"[0.34, 0.3, 0.36]",1.0
91,1,"[0.172, 0.271, 0.557]",1.0
92,1,"[0.5614385614385614, 0.2407592407592407, 0.1978021978021978]",1.0
93,1,"[0.36, 0.25, 0.39]",1.0
94,1,"[0.803, 0.125, 0.072]",1.0
95,1,"[0.601, 0.21, 0.189]",1.0
96,1,"[0.637, 0.199, 0.164]",1.0
97,1,"[0.38, 0.28, 0.34]",1.0
98,1,"[0.28, 0.3, 0.42]",1.0
99,1,"[0.5, 0.25, 0.25]",1.0
