idx,y,ok,p_H,p_D,p_A,consistency,ui,scs,odds_H,odds_D,odds_A
0,0,1,0.38,0.28,0.34,1.0,0.398,1.5,1.29,6.25,9.0
1,0,1,0.43,0.25,0.32,1.0,0.22800000000000004,0.5,1.4,4.75,8.0
2,2,1,0.25,0.28,0.47,1.0,0.362,1.5,2.45,3.2,3.1
3,0,1,0.25,0.22,0.53,1.0,0.41787753201232314,2.032516880082154,3.9,3.6,1.91
4,0,1,0.3,0.27,0.43,1.0,0.378,1.5,1.55,3.9,6.25
5,2,1,0.2,0.25,0.55,1.0,0.48,2.5,9.5,5.5,1.3
6,0,1,0.4,0.27,0.33,1.0,0.39,1.5,1.22,7.0,11.0
7,0,1,0.3,0.25,0.45,1.0,0.3324999999999999,1.2499999999999991,2.1,3.1,3.9
8,2,1,0.45,0.27,0.28,1.0,0.3774194078839756,1.5494627192265038,2.5,3.4,2.75
9,1,1,0.35,0.28,0.37,1.0,0.402,1.5,2.45,3.4,2.8
10,1,1,0.55,0.24,0.21,1.0,0.32999999999999996,1.5,1.8,3.7,4.33
11,0,1,0.43,0.25,0.32,1.0,0.38408999848041375,1.540599989869425,3.4,3.2,2.25
12,2,1,0.45,0.27,0.28,1.0,0.37,1.5,1.91,3.4,4.1
13,2,1,0.25,0.25,0.5,1.0,0.41,1.9,6.25,4.2,1.53
14,1,1,0.45,0.27,0.28,1.0,0.37,1.5,2.45,3.0,3.2
15,1,1,0.3,0.27,0.43,1.0,0.41303184234735135,1.733545615649009,2.45,3.2,3.0
16,2,1,0.34,0.28,0.38,1.0,0.4970896515587203,2.1605976770581354,3.8,3.7,1.91
17,0,1,0.3,0.27,0.43,1.0,0.40095831983412855,1.6530554655608571,1.9,3.5,4.2
18,1,1,0.4,0.27,0.33,1.0,0.39,1.5,1.8,3.75,4.33
19,0,1,0.43,0.25,0.32,1.0,0.42906540318935715,1.8404360212623811,3.1,3.25,2.35
20,0,1,0.3,0.28,0.42,1.0,0.532,2.5,5.5,3.9,1.62
21,2,1,0.3,0.27,0.43,1.0,0.528,2.5,13.0,7.0,1.2
22,0,1,0.35,0.28,0.37,1.0,0.4029244172451599,1.5061627816343994,2.55,3.2,2.88
23,2,1,0.55,0.25,0.2,1.0,0.32999999999999996,1.5,1.67,3.5,5.75
24,0,1,0.45,0.27,0.28,1.0,0.37,1.5,1.53,3.8,6.5
25,2,1,0.3,0.27,0.43,1.0,0.528,2.5,3.75,3.5,2.0
26,0,1,0.3,0.27,0.43,1.0,0.3254999999999999,1.149999999999999,2.35,3.25,3.1
27,1,1,0.42,0.28,0.3,1.0,0.40676670758201927,1.6651113838801281,3.2,3.25,2.3
28,0,1,0.45,0.27,0.28,1.0,0.37,1.5,1.22,7.0,11.0
29,0,1,0.42,0.28,0.3,1.0,0.382,1.736842105263158,1.06,13.0,23.0
30,0,1,0.32,0.28,0.4,1.0,0.39,1.631578947368421,1.83,3.4,4.5
31,2,1,0.42,0.28,0.3,1.0,0.532,2.5789473684210527,4.5,3.8,1.75
32,0,1,0.55,0.24,0.21,1.0,0.32999999999999996,1.5,1.22,7.0,11.0
33,0,1,0.7,0.2,0.1,1.0,0.12000000000000002,0.42105263157894735,1.4,5.0,7.0
34,0,1,0.45,0.28,0.27,1.0,0.37,1.736842105263158,1.85,3.7,4.1
