idx,y,ok,p_H,p_D,p_A,consistency,ui,scs,odds_H,odds_D,odds_A
0,0,3,0.7406666666666667,0.152,0.10733333333333334,0.9973333333333333,0.25453333333333333,1.5,1.29,6.25,9.0
1,0,3,0.68,0.20033333333333334,0.11966666666666666,0.9993333333333333,0.12819999999999998,0.5,1.4,4.75,8.0
2,2,3,0.35333333333333333,0.3,0.3466666666666667,0.9933333333333334,0.41066666666666674,1.5,2.45,3.2,3.1
3,0,3,0.22666666666666666,0.25333333333333335,0.52,0.98,0.42787753201232315,2.032516880082154,3.9,3.6,1.91
4,0,3,0.6066666666666666,0.24,0.15333333333333332,0.9833333333333333,0.31233333333333335,1.5,1.55,3.9,6.25
5,2,3,0.10000000000000002,0.17,0.73,1.0,0.40800000000000003,2.5,9.5,5.5,1.3
6,0,3,0.778,0.136,0.08600000000000001,1.0,0.23879999999999998,1.5,1.22,7.0,11.0
7,0,3,0.44733333333333336,0.3073333333333333,0.24533333333333332,0.9926666666666667,0.3357666666666665,1.2499999999999991,2.1,3.1,3.9
8,2,3,0.38000000000000006,0.28,0.34,1.0,0.40541940788397557,1.5494627192265038,2.5,3.4,2.75
9,1,3,0.38000000000000006,0.28,0.34,1.0,0.39799999999999996,1.5,2.45,3.4,2.8
10,1,3,0.55,0.24666666666666667,0.20333333333333337,0.9933333333333333,0.33199999999999996,1.5,1.8,3.7,4.33
11,0,3,0.28,0.298,0.422,0.998,0.3878899984804138,1.540599989869425,3.4,3.2,2.25
12,2,3,0.5133333333333333,0.27,0.21666666666666667,0.9866666666666667,0.3486666666666667,1.5,1.91,3.4,4.1
13,2,3,0.15333333333333332,0.22666666666666668,0.62,0.9933333333333333,0.36400000000000005,1.9,6.25,4.2,1.53
14,1,3,0.40666666666666673,0.30666666666666664,0.2866666666666667,0.9866666666666667,0.3913333333333333,1.5,2.45,3.0,3.2
15,1,3,0.35666666666666663,0.29666666666666663,0.3466666666666667,0.9866666666666667,0.4463651756806847,1.733545615649009,2.45,3.2,3.0
16,2,3,0.25333333333333335,0.25666666666666665,0.49,0.9933333333333333,0.4550896515587203,2.1605976770581354,3.8,3.7,1.91
17,0,3,0.47333333333333333,0.27666666666666667,0.25,0.9833333333333334,0.38862498650079524,1.6530554655608571,1.9,3.5,4.2
18,1,3,0.53,0.25,0.22,1.0,0.33799999999999997,1.5,1.8,3.75,4.33
19,0,3,0.3073333333333333,0.29066666666666663,0.40199999999999997,0.9973333333333333,0.4410654031893573,1.8404360212623811,3.1,3.25,2.35
20,0,3,0.17066666666666666,0.241,0.5883333333333333,0.9966666666666667,0.4656666666666667,2.5,5.5,3.9,1.62
21,2,3,0.08,0.14,0.7799999999999999,1.0,0.388,2.5,13.0,7.0,1.2
22,0,3,0.36000000000000004,0.29666666666666663,0.34333333333333327,0.9833333333333334,0.4119244172451598,1.5061627816343994,2.55,3.2,2.88
23,2,3,0.57,0.26666666666666666,0.16333333333333333,0.9933333333333333,0.32400000000000007,1.5,1.67,3.5,5.75
24,0,3,0.6166666666666667,0.242,0.14133333333333334,0.9933333333333333,0.30533333333333335,1.5,1.53,3.8,6.5
25,2,3,0.25333333333333335,0.27,0.4766666666666666,0.9933333333333333,0.5113333333333334,2.5,3.75,3.5,2.0
26,0,3,0.36999999999999994,0.29,0.34,0.98,0.3554999999999999,1.149999999999999,2.35,3.25,3.1
27,1,3,0.3,0.29,0.41,1.0,0.4107667075820193,1.6651113838801281,3.2,3.25,2.3
28,0,3,0.7786666666666667,0.13733333333333334,0.084,0.996,0.2397333333333333,1.5,1.22,7.0,11.0
29,0,3,0.8813333333333334,0.07466666666666666,0.044000000000000004,0.9886666666666667,0.20086666666666664,1.736842105263158,1.06,13.0,23.0
30,0,3,0.5046666666666667,0.279,0.21633333333333335,0.9906666666666667,0.3509333333333333,1.631578947368421,1.83,3.4,4.5
31,2,3,0.21333333333333335,0.25,0.5366666666666667,0.9933333333333333,0.4873333333333333,2.5789473684210527,4.5,3.8,1.75
32,0,3,0.7926666666666667,0.12533333333333332,0.082,0.9853333333333333,0.2373333333333333,1.5,1.22,7.0,11.0
33,0,3,0.68,0.18000000000000002,0.14,1.0,0.12799999999999997,0.42105263157894735,1.4,5.0,7.0
34,0,3,0.52,0.25,0.23,1.0,0.34199999999999997,1.736842105263158,1.85,3.7,4.1
35,0,3,0.6673333333333334,0.18266666666666667,0.15,0.9866666666666667,0.28706666666666664,1.263157894736842,1.42,5.0,6.25
36,2,3,0.6133333333333333,0.21333333333333335,0.17333333333333334,0.9866666666666667,0.3086666666666667,1.631578947368421,1.55,4.33,5.25
37,0,3,0.55,0.25,0.20000000000000004,1.0,0.2774999999999999,1.2289473684210521,1.8,3.7,4.33
38,0,3,0.28,0.27,0.45,1.0,0.443699742159537,2.2808052986074396,3.4,3.5,2.1
39,2,3,0.16866666666666666,0.259,0.5723333333333332,0.9953333333333333,0.4724666666666667,2.5,5.75,3.7,1.65
40,0,3,0.23,0.25,0.52,1.0,0.492,2.5,4.1,3.75,1.83
41,2,3,0.545,0.225,0.23,1.0,0.33199999999999996,1.5,1.73,4.2,4.1
42,2,3,0.34,0.29,0.36999999999999994,1.0,0.44199714553190017,1.7666476368793338,2.8,3.3,2.55
43,1,3,0.21,0.25333333333333335,0.5366666666666667,0.9733333333333333,0.46427008464341013,2.3062450087338453,4.2,3.7,1.9
44,0,3,0.3499999999999999,0.2933333333333333,0.35666666666666663,0.9933333333333333,0.4093333333333333,1.9473684210526316,2.35,3.2,3.2
45,0,3,0.48,0.27666666666666667,0.24333333333333332,0.98,0.28900000000000003,1.0,2.2,3.2,3.5
46,2,3,0.55,0.24333333333333332,0.20666666666666667,0.9933333333333333,0.33199999999999996,1.5,1.91,3.6,3.9
47,1,3,0.29,0.3,0.41,1.0,0.43328551525009873,2.157342031491886,3.3,3.2,2.3
48,2,3,0.07928071928071928,0.1472360972360972,0.7734831834831835,0.9965168165168166,0.3916516816516816,2.947368421052632,12.0,6.5,1.22
49,1,3,0.739,0.166,0.09500000000000001,1.0,0.2544,1.8421052631578947,1.29,5.75,10.0
50,2,3,0.7280000000000001,0.17200000000000001,0.10000000000000002,1.0,0.2588,1.5,1.3,5.5,9.5
51,0,3,0.62,0.20000000000000004,0.18000000000000002,1.0,0.30200000000000005,1.5,1.53,4.75,5.25
52,0,3,0.7200000000000001,0.17,0.11,1.0,0.26199999999999996,1.8947368421052633,1.33,5.5,8.5
53,1,3,0.54,0.28,0.18000000000000002,1.0,0.33399999999999996,1.5,1.75,3.4,5.25
54,1,3,0.6426426426426427,0.2112112112112112,0.14614614614614613,1.0,0.29294294294294293,1.5,1.48,4.5,6.5
55,1,3,0.4000000000000001,0.29,0.31,1.0,0.23999999999999996,0.8947368421052632,2.35,3.25,3.1
56,0,3,0.32,0.28,0.4000000000000001,1.0,0.4209085138715386,1.8902672854593805,2.88,3.3,2.45
57,0,3,0.432,0.288,0.28,1.0,0.39462439724610165,1.8003731746231333,2.2,3.3,3.4
58,2,3,0.11666666666666665,0.18333333333333335,0.6999999999999998,0.9933333333333333,0.42200000000000004,2.526315789473684,8.5,5.0,1.33
59,0,3,0.6448782115448782,0.21407407407407408,0.1410477143810477,0.9897564230897564,0.2951217884551218,1.8421052631578947,1.47,4.2,6.5
60,1,3,0.515,0.268,0.217,1.0,0.344,1.8947368421052633,1.82,3.5,4.33
61,2,3,0.48299999999999993,0.262,0.255,1.0,0.35680000000000006,1.5,1.95,3.6,3.7
62,1,3,0.28,0.26,0.46,1.0,0.5140888624298254,2.8819959249707656,3.4,3.6,2.05
63,0,3,0.42,0.28,0.3,1.0,0.382,1.5,2.3,3.3,3.1
64,2,3,0.22833333333333336,0.261,0.5106666666666667,0.9966666666666667,0.49673333333333336,2.947368421052632,4.2,3.6,1.85
65,0,3,0.3444477811144478,0.2854287620954288,0.3701234567901235,0.9932098765432099,0.2928631402626861,0.8381172746990425,2.75,3.3,2.55
