idx,ok,p,consistency
0,5,"[0.7365999999999999, 0.1558, 0.1076]",0.9905
1,5,"[0.68, 0.20060000000000003, 0.11939999999999999]",0.9994
2,5,"[0.34400000000000003, 0.294, 0.362]",0.96
3,5,"[0.22999999999999998, 0.258, 0.5120000000000001]",0.984
4,5,"[0.604957042957043, 0.2407032967032967, 0.15433966033966035]",0.9938181818181818
5,5,"[0.1, 0.1704, 0.7296]",0.9992
6,5,"[0.7788, 0.1356, 0.08560000000000001]",0.9954
7,5,"[0.4446, 0.3056, 0.24980000000000002]",0.9866
8,5,"[0.37960000000000005, 0.2796, 0.34080000000000005]",0.9984
9,5,"[0.376, 0.28, 0.34400000000000003]",0.994
10,5,"[0.546, 0.248, 0.20600000000000002]",0.986
11,5,"[0.28, 0.29819999999999997, 0.4218]",0.9982
12,5,"[0.52, 0.266, 0.21400000000000002]",0.978
13,5,"[0.158, 0.22600000000000003, 0.616]",0.988
14,5,"[0.40800000000000003, 0.304, 0.28800000000000003]",0.984
15,5,"[0.362, 0.294, 0.344]",0.981
16,5,"[0.255, 0.257, 0.488]",0.9925
17,5,"[0.466, 0.274, 0.26]",0.975
18,5,"[0.5332000000000001, 0.2492, 0.21760000000000002]",0.9904
19,5,"[0.3088, 0.2888, 0.4024]",0.9944
20,5,"[0.1688, 0.2392, 0.5919999999999999]",0.989
21,5,"[0.0744, 0.1368, 0.7888000000000001]",0.9956
22,5,"[0.36000000000000004, 0.296, 0.344]",0.984
23,5,"[0.5731999999999999, 0.266, 0.1608]",0.9924
24,5,"[0.62, 0.2372, 0.1428]",0.9894
25,5,"[0.264, 0.266, 0.4699999999999999]",0.986
26,5,"[0.37399999999999994, 0.29, 0.336]",0.99
27,5,"[0.2952, 0.2904, 0.4144]",0.991
28,5,"[0.7767999999999999, 0.1356, 0.08759999999999998]",0.9948
29,5,"[0.8828000000000001, 0.0728, 0.044399999999999995]",0.9902
30,5,"[0.5064, 0.27780000000000005, 0.2158]",0.991
31,5,"[0.21400000000000002, 0.25, 0.536]",0.994
32,5,"[0.7872000000000001, 0.13040000000000002, 0.0824]",0.986
33,5,"[0.6824, 0.1816, 0.136]",0.9876
34,5,"[0.5164, 0.2552, 0.22840000000000002]",0.9896
35,5,"[0.6740000000000002, 0.17800000000000002, 0.148]",0.98
36,5,"[0.6148791208791209, 0.20935664335664333, 0.17576423576423578]",0.9807612387612388
37,5,"[0.5519999999999999, 0.244, 0.20400000000000001]",0.992
38,5,"[0.28200000000000003, 0.268, 0.45]",0.988
39,5,"[0.1648, 0.2556, 0.5795999999999999]",0.9948
40,5,"[0.23000000000000004, 0.25, 0.52]",1.0
41,5,"[0.547, 0.223, 0.23000000000000004]",0.997
42,5,"[0.343, 0.28700000000000003, 0.37]",0.995
43,5,"[0.21200000000000002, 0.254, 0.534]",0.976
44,5,"[0.35, 0.29000000000000004, 0.36]",0.943
45,5,"[0.49000000000000005, 0.278, 0.23199999999999998]",0.962
46,5,"[0.536, 0.254, 0.21000000000000002]",0.98
47,5,"[0.2914845154845155, 0.29508091908091905, 0.41343456543456547]",0.9924845154845154
48,5,"[0.0793842157842158, 0.14557082917082917, 0.7750449550449551]",0.9956471528471528
49,5,"[0.7333999999999999, 0.16760000000000003, 0.099]",0.98
50,5,"[0.7291999999999998, 0.1708, 0.1]",0.9988
51,5,"[0.6198761238761239, 0.19996003996003994, 0.18016383616383616]",0.9996723276723277
52,5,"[0.72, 0.17, 0.11000000000000001]",1.0
53,5,"[0.5302, 0.2798, 0.19]",0.9758
54,5,"[0.6426426426426427, 0.21121121121121117, 0.14614614614614613]",1.0
55,5,"[0.39980000000000004, 0.29059999999999997, 0.3096]",0.9936
56,5,"[0.322, 0.28200000000000003, 0.396]",0.992
57,5,"[0.4364, 0.28759999999999997, 0.276]",0.992
58,5,"[0.11199999999999999, 0.1814, 0.7065999999999999]",0.984
59,5,"[0.642926926926927, 0.2104444444444445, 0.14662862862862863]",0.979019019019019
60,5,"[0.512, 0.27, 0.21800000000000003]",0.988
61,5,"[0.483, 0.262, 0.255]",1.0
62,5,"[0.28600000000000003, 0.26, 0.454]",0.99
63,5,"[0.42000000000000004, 0.2812, 0.2988]",0.992
64,5,"[0.229, 0.26060000000000005, 0.5104]",0.998
65,5,"[0.34320000000000006, 0.28440000000000004, 0.3724]",0.993
66,5,"[0.67, 0.2104, 0.1196]",0.9994
67,5,"[0.5446000000000001, 0.268, 0.1874]",0.9933
68,5,"[0.2996, 0.2596, 0.4408]",0.9984
69,5,"[0.48579999999999995, 0.2468, 0.2674]",0.992
70,5,"[0.302, 0.31, 0.38800000000000007]",0.996
71,5,"[0.44400000000000006, 0.274, 0.28200000000000003]",0.984
72,5,"[0.5267999999999999, 0.27640000000000003, 0.1968]",0.9658
73,5,"[0.48641158841158844, 0.29456343656343653, 0.21902497502497503]",0.9977182817182817
74,5,"[0.7, 0.19, 0.11000000000000001]",1.0
75,5,"[0.328, 0.26, 0.41200000000000003]",0.99
76,5,"[0.476, 0.3048, 0.2192]",0.9976
77,5,"[0.4016, 0.2796, 0.3188]",0.9976
78,5,"[0.1376, 0.2552, 0.6072]",0.9828
79,5,"[0.34, 0.298, 0.362]",0.996
80,5,"[0.38790990990990987, 0.29503703703703704, 0.31705305305305304]",0.9974814814814814
81,5,"[0.406, 0.3284, 0.2656]",0.9906
82,5,"[0.4438, 0.29179999999999995, 0.2644]",0.9951
83,5,"[0.496, 0.26, 0.244]",0.994
84,5,"[0.258, 0.276, 0.466]",0.981
85,5,"[0.18059999999999996, 0.27060000000000006, 0.5488]",0.9988
86,5,"[0.386, 0.304, 0.31]",0.994
87,5,"[0.6792, 0.2118, 0.10900000000000001]",0.9964
88,5,"[0.28, 0.29600000000000004, 0.42400000000000004]",0.984
89,5,"[0.22000000000000003, 0.25, 0.53]",1.0
90,5,"[0.306, 0.296, 0.398]",0.98
91,5,"[0.17159999999999997, 0.27080000000000004, 0.5576]",0.9988
92,5,"[0.5665754245754245, 0.24030369630369627, 0.1931208791208791]",0.9948631368631369
93,5,"[0.3548, 0.24980000000000002, 0.3954]",0.9884000000000001
94,5,"[0.8106, 0.121, 0.0684]",0.9874
95,5,"[0.6024, 0.20800000000000002, 0.1896]",0.9956
96,5,"[0.6336, 0.2012, 0.1652]",0.9932
97,5,"[0.376, 0.2834, 0.3406]",0.9977
98,5,"[0.266, 0.2954, 0.4386]",0.972
99,5,"[0.5, 0.25, 0.25]",1.0
