idx,y,ok,p_H,p_D,p_A,consistency,ui,scs,odds_H,odds_D,odds_A
0,0,3,0.7392558922558923,0.16143771043771046,0.0993063973063973,0.9915622895622896,0.2568289562289562,1.5,1.29,6.25,9.0
1,0,3,0.6816666666666666,0.20166666666666666,0.11666666666666665,0.9953333333333332,0.1287333333333334,0.5,1.4,4.75,8.0
2,2,3,0.43,0.29000000000000004,0.28,0.96,0.39,1.5,2.45,3.2,3.1
3,0,3,0.22812291249164995,0.2918503674014696,0.4800267201068804,0.9399465597862392,0.45588287603369926,2.032516880082154,3.9,3.6,1.91
4,0,3,0.6216666666666667,0.237,0.14133333333333334,0.9933333333333332,0.30333333333333334,1.5,1.55,3.9,6.25
5,2,3,0.13333333333333333,0.18733333333333335,0.6793333333333332,0.9666666666666668,0.4382666666666667,2.5,9.5,5.5,1.3
6,0,3,0.7668451785118452,0.1447620954287621,0.0883927260593927,0.9967620954287622,0.2442332999666333,1.5,1.22,7.0,11.0
7,0,3,0.44615382048715385,0.31010310310310313,0.2437430764097431,0.975255922589256,0.34146169502836154,1.2499999999999991,2.1,3.1,3.9
8,2,3,0.4166666666666667,0.27166666666666667,0.3116666666666667,0.9483333333333334,0.4062527412173088,1.5494627192265038,2.5,3.4,2.75
9,1,3,0.4006616415410385,0.2814773869346734,0.3178609715242881,0.9731892797319932,0.39777855946398666,1.5,2.45,3.4,2.8
10,1,3,0.54,0.24833333333333332,0.21166666666666667,0.9773333333333332,0.34080000000000005,1.5,1.8,3.7,4.33
11,0,3,0.285,0.3,0.41500000000000004,0.9866666666666668,0.39408999848041365,1.540599989869425,3.4,3.2,2.25
12,2,3,0.49508417508417507,0.28760942760942765,0.2173063973063973,0.9488888888888888,0.36729966329966335,1.5,1.91,3.4,4.1
13,2,3,0.15565163557131426,0.2298000812057037,0.614548283222982,0.9858533232027208,0.36842468974999093,1.9,6.25,4.2,1.53
14,1,3,0.42,0.31,0.27,1.0,0.382,1.5,2.45,3.0,3.2
15,1,3,0.3499999999999999,0.28,0.36999999999999994,1.0,0.4370318423473514,1.733545615649009,2.45,3.2,3.0
16,2,3,0.24933333333333332,0.25733333333333336,0.49333333333333335,0.9966666666666668,0.45275631822538687,2.1605976770581354,3.8,3.7,1.91
17,0,3,0.451,0.2843333333333333,0.26466666666666666,0.9806666666666668,0.3983583198341285,1.6530554655608571,1.9,3.5,4.2
18,1,3,0.546,0.2373333333333333,0.21666666666666667,0.9993333333333332,0.3318,1.5,1.8,3.75,4.33
19,0,3,0.31281923714759535,0.29651077943615256,0.3906699834162521,0.9926600331674958,0.4469993998726075,1.8404360212623811,3.1,3.25,2.35
20,0,3,0.15,0.2333333333333333,0.6166666666666667,0.9933333333333332,0.45533333333333337,2.5,5.5,3.9,1.62
21,2,3,0.13,0.16333333333333333,0.7066666666666667,0.94,0.43533333333333335,2.5,13.0,7.0,1.2
22,0,3,0.405,0.2906666666666667,0.30433333333333334,0.9526666666666668,0.4031244172451599,1.5061627816343994,2.55,3.2,2.88
23,2,3,0.5973333333333333,0.26333333333333336,0.13933333333333334,0.9773333333333332,0.31786666666666674,1.5,1.67,3.5,5.75
24,0,3,0.6216666666666667,0.24266666666666667,0.13566666666666669,0.9953333333333332,0.30273333333333335,1.5,1.53,3.8,6.5
25,2,3,0.25325325325325326,0.27127127127127126,0.4754754754754755,1.0,0.5098098098098098,2.5,3.75,3.5,2.0
26,0,3,0.4103333333333334,0.2803333333333334,0.3093333333333333,0.9733333333333334,0.3413666666666665,1.149999999999999,2.35,3.25,3.1
27,1,3,0.2973333333333333,0.2933333333333333,0.4093333333333333,0.9756666666666668,0.4183333742486859,1.6651113838801281,3.2,3.25,2.3
28,0,3,0.785,0.13533333333333333,0.07966666666666666,0.9933333333333332,0.23800000000000004,1.5,1.22,7.0,11.0
29,0,3,0.8726666666666666,0.09799999999999999,0.029333333333333336,0.9693333333333334,0.21013333333333334,1.736842105263158,1.06,13.0,23.0
30,0,3,0.5233333333333333,0.27166666666666667,0.205,0.9813333333333332,0.3462666666666667,1.631578947368421,1.83,3.4,4.5
31,2,3,0.22166666666666665,0.24766666666666667,0.5306666666666667,0.9853333333333332,0.4921333333333333,2.5789473684210527,4.5,3.8,1.75
32,0,3,0.8066666666666666,0.128,0.06533333333333334,0.9566666666666668,0.24033333333333332,1.5,1.22,7.0,11.0
33,0,3,0.75,0.12333333333333334,0.12666666666666668,0.9966666666666668,0.10099999999999996,0.42105263157894735,1.4,5.0,7.0
34,0,3,0.5316666666666667,0.26,0.20833333333333334,0.971,0.3460333333333333,1.736842105263158,1.85,3.7,4.1
35,0,3,0.734,0.13466666666666668,0.13133333333333333,0.968,0.266,1.263157894736842,1.42,5.0,6.25
