idx,ok,p,consistency
0,3,"[0.7392558922558923, 0.16143771043771046, 0.0993063973063973]",0.9915622895622896
1,3,"[0.6816666666666666, 0.20166666666666666, 0.11666666666666665]",0.9953333333333332
2,3,"[0.43, 0.29000000000000004, 0.28]",0.96
3,3,"[0.22812291249164995, 0.2918503674014696, 0.4800267201068804]",0.9399465597862392
4,3,"[0.6216666666666667, 0.237, 0.14133333333333334]",0.9933333333333332
5,3,"[0.13333333333333333, 0.18733333333333335, 0.6793333333333332]",0.9666666666666668
6,3,"[0.7668451785118452, 0.1447620954287621, 0.0883927260593927]",0.9967620954287622
7,3,"[0.44615382048715385, 0.31010310310310313, 0.2437430764097431]",0.975255922589256
8,3,"[0.4166666666666667, 0.27166666666666667, 0.3116666666666667]",0.9483333333333334
9,3,"[0.4006616415410385, 0.2814773869346734, 0.3178609715242881]",0.9731892797319932
10,3,"[0.54, 0.24833333333333332, 0.21166666666666667]",0.9773333333333332
11,3,"[0.285, 0.3, 0.41500000000000004]",0.9866666666666668
12,3,"[0.49508417508417507, 0.28760942760942765, 0.2173063973063973]",0.9488888888888888
13,3,"[0.15565163557131426, 0.2298000812057037, 0.614548283222982]",0.9858533232027208
14,3,"[0.42, 0.31, 0.27]",1.0
15,3,"[0.3499999999999999, 0.28, 0.36999999999999994]",1.0
16,3,"[0.24933333333333332, 0.25733333333333336, 0.49333333333333335]",0.9966666666666668
17,3,"[0.451, 0.2843333333333333, 0.26466666666666666]",0.9806666666666668
18,3,"[0.546, 0.2373333333333333, 0.21666666666666667]",0.9993333333333332
19,3,"[0.31281923714759535, 0.29651077943615256, 0.3906699834162521]",0.9926600331674958
20,3,"[0.15, 0.2333333333333333, 0.6166666666666667]",0.9933333333333332
21,3,"[0.13, 0.16333333333333333, 0.7066666666666667]",0.94
22,3,"[0.405, 0.2906666666666667, 0.30433333333333334]",0.9526666666666668
23,3,"[0.5973333333333333, 0.26333333333333336, 0.13933333333333334]",0.9773333333333332
24,3,"[0.6216666666666667, 0.24266666666666667, 0.13566666666666669]",0.9953333333333332
25,3,"[0.25325325325325326, 0.27127127127127126, 0.4754754754754755]",1.0
26,3,"[0.4103333333333334, 0.2803333333333334, 0.3093333333333333]",0.9733333333333334
27,3,"[0.2973333333333333, 0.2933333333333333, 0.4093333333333333]",0.9756666666666668
28,3,"[0.785, 0.13533333333333333, 0.07966666666666666]",0.9933333333333332
29,3,"[0.8726666666666666, 0.09799999999999999, 0.029333333333333336]",0.9693333333333334
30,3,"[0.5233333333333333, 0.27166666666666667, 0.205]",0.9813333333333332
31,3,"[0.22166666666666665, 0.24766666666666667, 0.5306666666666667]",0.9853333333333332
32,3,"[0.8066666666666666, 0.128, 0.06533333333333334]",0.9566666666666668
33,3,"[0.75, 0.12333333333333334, 0.12666666666666668]",0.9966666666666668
34,3,"[0.5316666666666667, 0.26, 0.20833333333333334]",0.971
35,3,"[0.734, 0.13466666666666668, 0.13133333333333333]",0.968
36,3,"[0.7166666666666667, 0.17666666666666667, 0.10666666666666667]",0.93
37,2,"[0.5392662662662663, 0.24212412412412412, 0.21860960960960962]",0.9865325325325324
38,3,"[0.30687708750835, 0.2721763527054108, 0.4209465597862391]",0.9638430193720776
39,3,"[0.19333333333333333, 0.26, 0.5466666666666666]",0.8933333333333333
40,3,"[0.252, 0.26933333333333337, 0.47866666666666663]",0.9653333333333334
41,3,"[0.49749581239530993, 0.24539363484087104, 0.2571105527638191]",0.9366666666666666
42,3,"[0.34833333333333333, 0.2783333333333333, 0.37333333333333335]",0.9866666666666668
43,3,"[0.21614228456913828, 0.2651643286573146, 0.5186933867735471]",0.9218309953239812
44,3,"[0.45, 0.275, 0.275]",1.0
45,3,"[0.452, 0.30033333333333334, 0.24766666666666667]",0.9993333333333332
46,3,"[0.52, 0.25666666666666665, 0.2233333333333333]",0.98
47,3,"[0.29666666666666663, 0.29866666666666664, 0.4046666666666667]",0.95
48,3,"[0.14, 0.18999999999999997, 0.6699999999999999]",0.9333333333333332
49,3,"[0.7626666666666667, 0.17, 0.06733333333333334]",0.9626666666666668
50,3,"[0.758, 0.162, 0.08]",1.0
51,3,"[0.6245512178845513, 0.20106573239906575, 0.17438304971638308]",0.9511651651651651
52,3,"[0.725, 0.163, 0.112]",1.0
53,3,"[0.541, 0.279, 0.18000000000000002]",1.0
54,3,"[0.6426426426426427, 0.2112112112112112, 0.14614614614614613]",1.0
55,3,"[0.4152970297029703, 0.2917128712871287, 0.292990099009901]",0.9846864686468647
56,3,"[0.35611878545211884, 0.29043143143143146, 0.3534497831164498]",0.9872145478812145
57,3,"[0.4848274941608275, 0.28809275942609275, 0.2270797464130798]",0.9319999999999999
58,3,"[0.12170837504170838, 0.18005839172505841, 0.6982332332332333]",0.981624958291625
59,3,"[0.6775749082415748, 0.20606206206206204, 0.11636302969636303]",0.9508501835168501
60,3,"[0.5233333333333333, 0.261, 0.21566666666666667]",0.9923333333333333
61,3,"[0.48299999999999993, 0.262, 0.255]",1.0
62,3,"[0.28776176176176177, 0.2534150817484151, 0.45882315648982314]",0.9829252585919253
63,3,"[0.4155940594059406, 0.28742904290429044, 0.2969768976897689]",0.9860330033003301
64,3,"[0.23666666666666666, 0.27366666666666667, 0.48966666666666664]",0.9913333333333333
65,3,"[0.35266666666666663, 0.29033333333333333, 0.357]",0.994
66,3,"[0.6785585585585586, 0.20506840173506843, 0.11637303970637304]",0.9919602936269603
67,3,"[0.6521885521885521, 0.24417508417508418, 0.10363636363636364]",0.9806060606060606
